dataset,maximum_step,n_runs,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,val_accuracy_mean,val_accuracy_std,val_accuracy_min,val_accuracy_max,val_balanced_accuracy_mean,val_balanced_accuracy_std,val_balanced_accuracy_min,val_balanced_accuracy_max,val_roc_auc_mean,val_roc_auc_std,val_roc_auc_min,val_roc_auc_max,train_seconds_mean,train_seconds_std,train_seconds_min,train_seconds_max,n_parameters_mean,n_parameters_std,n_parameters_min,n_parameters_max,n_sparse_connections_mean,n_sparse_connections_std,n_sparse_connections_min,n_sparse_connections_max,n_connection_layers_mean,n_connection_layers_std,n_connection_layers_min,n_connection_layers_max
brca,1,5,0.8954248366013072,0.07336583111321454,0.7712418300653595,0.954248366013072,0.8176513317191283,0.18303301907235126,0.5,0.9502421307506053,0.7921549636803874,0.35152901447715046,0.1644067796610169,0.9743341404358353,0.9006535947712418,0.07269313837071517,0.7712418300653595,0.9411764705882353,0.8049636803874092,0.17284515122017224,0.5,0.9116222760290557,0.7791525423728813,0.380988133103329,0.09818401937046006,0.9617433414043585,51.857676246995105,0.3069811656449483,51.46856353699695,52.27126932097599,15183430.0,0.0,15183430.0,15183430.0,61206.0,0.0,61206.0,61206.0,3.0,0.0,3.0,3.0
brca,2,5,0.9215686274509804,0.01532815607785435,0.9019607843137255,0.934640522875817,0.8828329297820824,0.02523761579865246,0.8502421307506054,0.9073849878934624,0.9545036319612592,0.018213077635706645,0.9273607748184021,0.9760290556900727,0.9267973856209151,0.01813651885687791,0.9084967320261438,0.9477124183006536,0.8902421307506053,0.03638498958533233,0.8401937046004843,0.935956416464891,0.9341646489104118,0.0308476144225359,0.8918886198547216,0.9684019370460049,218.6507514290046,0.1259956277002855,218.43611741997302,218.75558599899523,70801138.0,0.0,70801138.0,70801138.0,73084.0,0.0,73084.0,73084.0,4.0,0.0,4.0,4.0
brca,3,5,0.9372549019607843,0.01938875421462919,0.9084967320261438,0.9607843137254902,0.9050605326876514,0.02655769832419055,0.8703389830508474,0.9444309927360774,0.9529297820823246,0.021238849049989017,0.921549636803874,0.9791767554479419,0.934640522875817,0.019055398349167665,0.9084967320261438,0.954248366013072,0.8993462469733657,0.0381367077741738,0.8401937046004843,0.9401937046004842,0.9360290556900726,0.032273018174675906,0.8880145278450363,0.9612590799031477,795.2124269777909,0.22689704451688497,794.8975982610136,795.5284217350418,255823382.0,0.0,255823382.0,255823382.0,76504.0,0.0,76504.0,76504.0,5.0,0.0,5.0,5.0
covid,1,5,0.6710743801652892,0.06056221805144216,0.5867768595041323,0.743801652892562,0.6464634847613571,0.06839323075657094,0.5495974698102357,0.7323174238067856,0.6931857389304198,0.07538244348891907,0.6237780333525015,0.807073030477286,0.6611570247933884,0.03147013680109051,0.6198347107438017,0.7024793388429752,0.6422369177688327,0.04006551354260996,0.5999137435307648,0.7024151811385855,0.6895917193789535,0.04980791416449148,0.6213341000575043,0.7481311098332374,53.13157141362317,6.106654246938726,44.41056309198029,60.022766369977035,4435150.0,0.0,4435150.0,4435150.0,2441.0,0.0,2441.0,2441.0,3.0,0.0,3.0,3.0
covid,2,5,0.6975206611570248,0.03336632931931629,0.6611570247933884,0.7520661157024794,0.690598044853364,0.039686751577626994,0.6569867740080506,0.7584818861414606,0.7487349051178839,0.04207163646680949,0.7009775733179988,0.7944220816561243,0.687603305785124,0.01077554116562423,0.6776859504132231,0.7024793388429752,0.6669637722829214,0.006208901523870682,0.6588556641748131,0.6752443933294997,0.718372627947096,0.04227337069417503,0.6855951696377228,0.7911155836687751,66.1444121426437,1.096257299784927,64.29318077408243,67.18031709303614,4666458.0,0.0,4666458.0,4666458.0,2559.0,0.0,2559.0,2559.0,4.0,0.0,4.0,4.0
covid,3,5,0.6545454545454545,0.03222080775143458,0.6363636363636364,0.7107438016528925,0.6282921219091432,0.039216481577354405,0.6017826336975274,0.6975273145485912,0.6893617021276596,0.025423190959562497,0.6569867740080506,0.7136285221391605,0.6776859504132232,0.024094842540683076,0.6446280991735537,0.7024793388429752,0.6557504312823462,0.022507310349298013,0.6375790684301322,0.6868890166762507,0.7096894767107533,0.042405726877960376,0.6469235192639449,0.7610695802185163,77.53431776140351,2.2293195740786627,74.54355487402063,80.67187651700806,5122606.0,0.0,5122606.0,5122606.0,2661.0,0.0,2661.0,2661.0,5.0,0.0,5.0,5.0
