dataset,model,setting,seed,n_samples,n_input_features,class_0,class_1,maximum_step,hidden_layers,dropout,learning_rate,weight_decay,batch_size,max_epochs,final_epoch,best_val_accuracy_epoch,best_val_auc_epoch,train_seconds,n_parameters,n_sparse_connections,n_connection_layers,notebook_reference,train_loss,train_accuracy,train_balanced_accuracy,train_roc_auc,val_loss,val_accuracy,val_balanced_accuracy,val_roc_auc,test_loss,test_accuracy,test_balanced_accuracy,test_roc_auc,run_status,run_error,wall_seconds_total
covid,PathNet,notebook_hyperparameters_external_test_split,2781,605,1174,236,369,1,none,0.1,0.001,0.0,16,200,200,65,59,54.64199963607825,4435150,2441,3,example_meta.ipynb,0.46473353323729144,0.8732782369146006,0.8682365687336691,0.8625645274361098,0.6425237283110619,0.6611570247933884,0.6531052328924669,0.6923519263944796,0.6679937317967415,0.6446280991735537,0.620184013801035,0.6249281196089707,ok,,55.66261299699545
covid,PathNet,notebook_hyperparameters_external_test_split,14526,605,1174,236,369,1,none,0.1,0.001,0.0,16,200,200,148,165,44.41056309198029,4435150,2441,3,example_meta.ipynb,0.40546634793281555,0.9173553719008265,0.9107290803645403,0.9007552099929896,0.6518627107143402,0.6446280991735537,0.6124209315698678,0.663024726854514,0.5547736063599586,0.743801652892562,0.7323174238067856,0.807073030477286,ok,,44.60668365494348
covid,PathNet,notebook_hyperparameters_external_test_split,2027,605,1174,236,369,1,none,0.1,0.001,0.0,16,200,200,147,105,49.87893681402784,4435150,2441,3,example_meta.ipynb,0.4017302912214528,0.9256198347107438,0.9225511439678797,0.9129915238034542,0.5871140696108341,0.7024793388429752,0.7024151811385855,0.7481311098332374,0.6122131980955601,0.6694214876033058,0.6482173663024726,0.7055779183438757,ok,,50.073534209048375
covid,PathNet,notebook_hyperparameters_external_test_split,3407,605,1174,236,369,1,none,0.1,0.001,0.0,16,200,200,50,31,56.703591156052426,4435150,2441,3,example_meta.ipynb,0.348639700723731,0.9669421487603306,0.9627812121598368,0.9447772608501688,0.617773711681366,0.6776859504132231,0.6433294997124784,0.7231167337550316,0.6084200367331505,0.7107438016528925,0.6820011500862565,0.7045715928694651,ok,,56.896439296077006
covid,PathNet,notebook_hyperparameters_external_test_split,91011,605,1174,236,369,1,none,0.1,0.001,0.0,16,200,200,112,37,60.022766369977035,4435150,2441,3,example_meta.ipynb,0.36450367258942645,0.9586776859504132,0.9547351985214454,0.9424351539098846,0.6622518375515938,0.6198347107438017,0.5999137435307648,0.6213341000575043,0.7102885618805885,0.5867768595041323,0.5495974698102357,0.6237780333525015,ok,,60.21598807501141
covid,PathNet,notebook_hyperparameters_external_test_split,2781,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,200,88,39,66.61487707903143,4666458,2559,4,example_meta.ipynb,0.3343500235806341,0.9807162534435262,0.9829042126059524,0.9719106494168632,0.6199821829795837,0.6776859504132231,0.6588556641748131,0.7087406555491662,0.5934880077838898,0.6942148760330579,0.6801322599194939,0.7333237492811961,ok,,66.81983175501227
covid,PathNet,notebook_hyperparameters_external_test_split,14526,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,200,79,77,66.20247145800386,4666458,2559,4,example_meta.ipynb,0.33374982035678363,0.9807162534435262,0.9791281626410044,0.9744439487604359,0.6244568079710007,0.6859504132231405,0.6656124209315699,0.7139160437032778,0.6275379508733749,0.6611570247933884,0.6569867740080506,0.7009775733179988,ok,,66.40836734196637
covid,PathNet,notebook_hyperparameters_external_test_split,2027,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,200,131,66,67.18031709303614,4666458,2559,4,example_meta.ipynb,0.33743708159612573,0.977961432506887,0.9768657192020904,0.9734242559428973,0.6296995766460896,0.6776859504132231,0.6705002875215642,0.6855951696377228,0.5446270816028118,0.7520661157024794,0.7584818861414606,0.7944220816561243,ok,,67.38571609603241
covid,PathNet,notebook_hyperparameters_external_test_split,3407,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,200,72,171,64.29318077408243,4666458,2559,4,example_meta.ipynb,0.38019026880678924,0.9338842975206612,0.9331145242495698,0.9078611943152125,0.6010320335626602,0.7024793388429752,0.6752443933294997,0.7911155836687751,0.6041274406015873,0.6859504132231405,0.6694939620471535,0.723404255319149,ok,,64.51717577606905
covid,PathNet,notebook_hyperparameters_external_test_split,91011,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,200,52,55,66.43121430906467,4666458,2559,4,example_meta.ipynb,0.34827830091766687,0.9669421487603306,0.9665572621247849,0.9540819578102097,0.612804964184761,0.6942148760330579,0.6646060954571593,0.6924956871765383,0.6008886471390724,0.6942148760330579,0.6878953421506613,0.7915468660149512,ok,,66.64316311199218
covid,PathNet,notebook_hyperparameters_external_test_split,2781,605,1174,236,369,3,none,0.1,0.001,0.0,16,200,200,192,85,80.67187651700806,5122606,2661,5,example_meta.ipynb,0.38403650859127875,0.9338842975206612,0.930597157606271,0.9203683640303358,0.6057647243142128,0.6942148760330579,0.6723691776883267,0.7190914318573893,0.6492267549037933,0.6363636363636364,0.6017826336975274,0.6677688326624497,ok,,80.8915265230462
covid,PathNet,notebook_hyperparameters_external_test_split,14526,605,1174,236,369,3,none,0.1,0.001,0.0,16,200,200,127,143,77.60504955996294,5122606,2661,5,example_meta.ipynb,0.39962149184683093,0.9228650137741047,0.9165126505640175,0.8987158243579122,0.5950952619314194,0.7024793388429752,0.6868890166762507,0.7610695802185163,0.6026681140065193,0.7107438016528925,0.6975273145485912,0.7087406555491662,ok,,77.83258482301608
